Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
POLR2L	4	-1.2111	-13.085	0.003995599999999999	0.38364000000000004	4.0051000000000003e-39	1.5166e-36	-1.214	-13.165999999999999	0.0029393	0.34133	1.3718999999999999e-39	7.708599999999999e-37	-0.99395	-11.542	0.0054997	0.48878	8.1383e-31	3.7305e-28	-0.97106	-10.305	0.006188600000000001	0.48522	6.6879e-25	2.2842e-22
CWC25	4	-0.7259899999999999	-6.4818	0.037844	0.6390100000000001	9.062299999999999e-11	2.0881e-09	-0.8951600000000001	-7.7413	0.01294	0.47856000000000004	9.8431e-15	4.659100000000001e-13	-1.0558	-9.4214	0.0042138	0.48066000000000003	4.4521e-21	6.9242e-19	-0.8784200000000001	-6.9351	0.0098169	0.51782	4.0603e-12	2.4222e-10
ZNF563	4	0.28319	2.2785	0.019094	0.54169	0.022699	0.065464	-0.044725	-0.33776	0.63257	0.9799399999999999	0.73554	0.8366100000000001	0.0045856000000000004	0.037247	0.52499	0.9697600000000001	0.97029	0.9827299999999999	0.08243400000000001	0.58713	0.23035999999999998	0.87889	0.55712	0.7289399999999999
GEMIN5	4	-0.8980600000000001	-9.2608	0.015522999999999999	0.50674	2.0284e-20	1.6281999999999997e-18	-0.9999399999999999	-10.166	0.0076583	0.41491000000000006	2.8184e-24	4.2321999999999998e-22	-0.68948	-7.7308	0.028222000000000004	0.6603899999999999	1.0686e-14	6.6715e-13	-0.57596	-5.9093	0.054194000000000006	0.71127	3.4364e-09	1.1737e-07
DUSP12	5	-0.66193	-7.1407	0.053068	0.6851	9.284e-13	2.9564e-11	-0.61525	-6.7286	0.05715599999999999	0.68098	1.7135e-11	5.264099999999999e-10	-0.22055999999999998	-2.6703	0.52422	0.9697600000000001	0.0075777	0.02945	-0.3606	-3.8546	0.21325	0.87197	0.00011591	0.0011387
TMEM55B	4	0.28300000000000003	3.3686	0.019197	0.54374	0.00075549	0.0038155999999999997	0.26235	3.1244	0.020587	0.55857	0.0017817	0.0083565	0.3513	4.2993	0.013938999999999998	0.56514	1.7135e-05	0.00016901	0.24201	2.7829	0.033986	0.65809	0.0053877	0.026105
TLCD1	5	-0.84959	-10.743	0.01984	0.55279	6.3777e-27	9.181200000000001e-25	-0.76464	-9.7996	0.025099	0.58419	1.13e-22	1.4798999999999998e-20	-0.78087	-10.309000000000001	0.017027	0.60285	6.393800000000001e-25	1.5256999999999998e-22	-0.8389	-10.122	0.012044	0.51802	4.4156e-24	1.3494000000000002e-21
CEP85L	4	0.20228	2.6533	0.051816999999999995	0.68396	0.0079708	0.027691000000000004	0.26127	3.4452	0.020874	0.56086	0.00057066	0.0032148000000000003	0.14489000000000002	1.9299	0.13116	0.82024	0.053621	0.13495	0.074424	0.9406100000000001	0.25169	0.8863700000000001	0.34691	0.54596
RABGGTB	4	-0.6806	-6.4693	0.047948000000000005	0.6714899999999999	9.843000000000002e-11	2.2619000000000002e-09	-0.7745	-7.2498	0.023859	0.5760000000000001	4.1725e-13	1.6296e-11	-1.0393	-9.809	0.0044779	0.48066000000000003	1.0301999999999999e-22	1.8889e-20	-0.90541	-7.4191	0.0084965	0.51782	1.1795e-13	9.6457e-12
C1QA	6	0.22073	2.9193	0.041219	0.65589	0.0035085	0.014056	0.18077000000000001	2.3873	0.056639	0.67835	0.016973	0.053591999999999994	0.14203	1.9268	0.13527999999999998	0.8239200000000001	0.054007000000000006	0.13565	0.21569000000000002	2.728	0.046926	0.7078399999999999	0.0063722	0.029901999999999998
INTS9	4	-0.61393	-7.485	0.068879	0.7186	7.1533e-14	2.6232e-12	-0.6866300000000001	-8.3382	0.037959	0.6219899999999999	7.5451e-17	4.693899999999999e-15	-0.55302	-6.9377	0.065664	0.74854	3.9844e-12	1.581e-10	-0.41794	-5.0248	0.14764000000000002	0.8295899999999999	5.0394e-07	1.0279000000000001e-05
LMAN1L	4	0.22021999999999997	2.8001	0.041506	0.6563399999999999	0.0051086000000000005	0.019203	0.12333	1.5584	0.11771	0.8043899999999999	0.11915	0.24374	0.070239	0.90614	0.29219	0.91865	0.36486	0.5401100000000001	0.051789	0.62336	0.32059	0.9147200000000001	0.53305	0.71178
ALG2	4	-0.9776299999999999	-10.253	0.010655	0.45926000000000006	1.1486e-24	1.3990999999999999e-22	-1.0732	-11.125	0.005407899999999999	0.38606999999999997	9.439499999999999e-29	2.0814e-26	-0.6278199999999999	-7.2288	0.041105	0.69408	4.872899999999999e-13	2.3319000000000004e-11	-0.8266100000000001	-8.3722	0.012871	0.52261	5.6559e-17	8.009699999999999e-15
BUB3	4	-0.68772	-8.4444	0.046156	0.6637	3.0570999999999995e-17	1.6285e-15	-0.66723	-8.2384	0.042230000000000004	0.63799	1.7454e-16	1.0412000000000001e-14	-0.37739	-4.9218	0.19641	0.8662299999999999	8.577299999999999e-07	1.2167e-05	-0.44525	-5.396	0.12384	0.8144899999999999	6.814600000000001e-08	1.6981999999999999e-06
CLPSL1	4	0.3212	3.194	0.012148	0.46463000000000004	0.0014033	0.0064926	0.43267	4.3849	0.003743	0.35545	1.1602e-05	0.00010801	0.52805	5.5957	0.0033181999999999994	0.4688	2.1974999999999997e-08	4.456100000000001e-07	-0.07127	-0.61845	0.8564299999999999	0.99277	0.53628	0.71363
HARS	4	-1.1741	-14.312000000000001	0.0045696999999999995	0.38364000000000004	1.8489e-46	1.0065e-43	-0.81899	-10.458	0.019117	0.54797	1.3454999999999999e-25	2.2535999999999996e-23	-0.79678	-10.482000000000001	0.015673	0.58501	1.0438000000000002e-25	2.7973e-23	-0.78425	-9.6131	0.016166	0.54864	7.038e-22	1.7267e-19
