Gene	sgRNA	eff
CD47	s_10440	1
CD47	s_10441	1
CD47	s_10442	1
CD47	s_10443	1
NEDD1	s_36611	0.463
NEDD1	s_36612	0.881
NEDD1	s_36613	1
NCR1	s_36334	0.945
NCR1	s_36335	0.948
NCR1	s_36336	0.759
WDR77	s_61843	0.464
WDR77	s_61844	0.733
WDR77	s_61845	0.495
GOSR1	s_23448	0.836
GOSR1	s_23449	1
GOSR1	s_23450	0.454
GOSR1	s_23451	0.721
GOSR1	s_23452	0.464
NANOS3	s_36036	0.751
NANOS3	s_36037	0.467
NANOS3	s_36038	0.735
ATP6V1F	s_4487	0.97
ATP6V1F	s_4488	0.699
ATP6V1F	s_4489	1
ATP6V1F	s_4490	0.332
ATP6V1F	s_4491	0.33
ATP6V1F	s_4492	0.552
LBX2	s_30597	0.657
LBX2	s_30598	0.526
LBX2	s_30599	0.519
LBX2	s_30600	0.75
LBX2	s_30601	1
COLEC10	s_13011	0.644
COLEC10	s_13012	0.921
COLEC10	s_13013	0.691
CXorf40B	s_14500	0.477
CXorf40B	s_14501	0.56
FAM195A	s_19741	1
FAM195A	s_19742	0.942
FAM195A	s_19743	1
MPL	s_34493	1
MPL	s_34494	0.574
MPL	s_34495	1
MPL	s_34496	0.416
MPL	s_34497	1
MPL	s_34498	0.597
AIPL1	s_1706	0.828
AIPL1	s_1707	1
AIPL1	s_1708	1
AIPL1	s_1709	1
AIPL1	s_1710	1
AIPL1	s_1711	0.468
NFYA	s_36935	1
NFYA	s_36936	1
NFYA	s_36937	0.478
NFYA	s_36938	0.774
C17orf50	s_6752	0.909
C17orf50	s_6753	0.95
C17orf50	s_6754	0.851
TBC1D15	s_55527	0.879
TBC1D15	s_55528	0.273
POLR2L	s_43090	0.971
POLR2L	s_43091	1
POLR2L	s_43092	0.85
POLR2L	s_43093	1
MTBP	s_35150	0.913
MTBP	s_35151	0.709
MTBP	s_35152	0.575
SH2D5	s_50405	1
SH2D5	s_50406	1
SH2D5	s_50407	1
SH2D5	s_50408	0.969
SH2D5	s_50409	1
SH2D5	s_50410	0.649
DEFB121	s_15567	0.815
DEFB121	s_15568	0.786
DEFB121	s_15569	0.347
NEURL4	s_36772	0.752
NEURL4	s_36773	0.586
NEURL4	s_36774	0.53
NEURL4	s_36775	0.971
MCTP1	s_33220	0.01
MCTP1	s_33221	1
MCTP1	s_33222	0.527
TRIM59	s_58985	0.622
TRIM59	s_58986	0.859
TRIM59	s_58987	0.62
XYLT2	s_62355	0.598
XYLT2	s_62356	0.886
XYLT2	s_62357	0.763
OR2W1	s_39141	0.501
OR2W1	s_39142	0.987
AKIP1	s_1807	1
AKIP1	s_1808	0.476
AKIP1	s_1809	1
AKIP1	s_1810	0.25
WIPF1	s_61995	1
WIPF1	s_61996	0.87
WIPF1	s_61997	0.637
PKNOX2	s_42203	1
PKNOX2	s_42204	1
PKNOX2	s_42205	0.852
RHBDL1	s_47167	0.993
RHBDL1	s_47168	0.989
RHBDL1	s_47169	1
FNDC7	s_21346	0.342
FNDC7	s_21347	0.894
FNDC7	s_21348	0.705
FNDC7	s_21349	0.589
TIMM22	s_56669	1
TIMM22	s_56670	1
TIMM22	s_56671	0.789
TIMM22	s_56672	0.231
CWC25	s_14355	1
CWC25	s_14356	0.948
CWC25	s_14357	0.733
CWC25	s_14358	0.336
ZNF160	s_63355	0.393
ZNF160	s_63356	0.226
ZNF160	s_63357	0.72
ZNF160	s_63358	0.325
DCUN1D3	s_15279	1
DCUN1D3	s_15280	0.814
DCUN1D3	s_15281	1
HSPA4	s_26273	0.704
HSPA4	s_26274	0.366
HSPA4	s_26275	0.678
HCLS1	s_24846	1
HCLS1	s_24847	1
HCLS1	s_24848	0.635
HCLS1	s_24849	1
ABHD10	s_271	0.362
ABHD10	s_272	0.44
ABHD10	s_273	0.244
ABHD10	s_274	0.807
ABHD10	s_275	0.497
SFXN3	s_50269	0.695
SFXN3	s_50270	1
FAM71C	s_20107	0.224
FAM71C	s_20108	1
FAM71C	s_20109	0.68
FAM71C	s_20110	0.524
ZNF385A	s_63790	0.482
ZNF385A	s_63791	0.727
C20orf24	s_7459	0.881
C20orf24	s_7460	1
C20orf24	s_7461	0.919
C20orf24	s_7462	0.73
C20orf24	s_7463	1
C20orf24	s_7464	0.979
ARSH	s_3756	0.897
ARSH	s_3757	0.58
ARSH	s_3758	0.975
ARSH	s_3759	0.8
RNF144B	s_47588	1
RNF144B	s_47589	0.78
RNF144B	s_47590	0.78
RNF144B	s_47591	0.295
TAZ	s_55492	0.757
TAZ	s_55493	1
EIF3H	s_17816	1
EIF3H	s_17817	1
EIF3H	s_17818	0.713
SLC48A1	s_51998	1
SLC48A1	s_51999	0.473
SLC48A1	s_52000	0.634
KAT5	s_28420	0.459
KAT5	s_28421	1
KAT5	s_28422	0.908
KAT5	s_28423	0.658
DDX5	s_15447	0.466
DDX5	s_15448	1
DDX5	s_15449	0.839
DDX5	s_15450	0.613
2-Mar	s_32808	0.738
2-Mar	s_32809	0.615
2-Mar	s_32810	0.292
2-Mar	s_32811	0.555
2-Mar	s_32812	0.813
2-Mar	s_32813	0.682
2-Mar	s_32827	0.732
2-Mar	s_32828	0.679
2-Mar	s_32829	0.644
2-Mar	s_32830	0.196
2-Mar	s_32831	0.631
LPAR5	s_31382	0.771
LPAR5	s_31383	0.902
PUM1	s_45294	0.712
PUM1	s_45295	0.266
PUM1	s_45296	0.865
PUM1	s_45297	0.583
PUM1	s_45298	0.736
DPAGT1	s_16683	0.423
DPAGT1	s_16684	0.739
DPAGT1	s_16685	0.899
DPAGT1	s_16686	0.772
YIPF5	s_62426	0.796
YIPF5	s_62427	0.244
YIPF5	s_62428	1
YIPF5	s_62429	0.217
KRT38	s_30109	0.787
KRT38	s_30110	0.965
KRT38	s_30111	0.875
IRAK2	s_27828	0.756
IRAK2	s_27829	0.42
IRAK2	s_27830	0.698
IRAK2	s_27831	0.541
CKLF	s_12041	0.618
CKLF	s_12042	0.896
CKLF	s_12043	1
CKLF	s_12044	1
CKLF	s_12045	1
CKLF	s_12046	0.729
TAAR2	s_55139	0.419
TAAR2	s_55140	0.613
TAAR2	s_55141	1
SEMG2	s_49811	1
SEMG2	s_49812	0.725
RNF103	s_47503	0.572
RNF103	s_47504	0.454
RNF103	s_47505	0.932
RNF103	s_47506	1
RNF103	s_47507	0.876
TM4SF19	s_56874	0.247
TM4SF19	s_56875	0.465
TM4SF19	s_56876	0.66
TM4SF19	s_56877	0.829
